"106年08月24日每5秒指數統計"
"時間","發行量加權股價指數","未含金融保險股指數","未含電子股指數","未含金融電子股指數","水泥類指數","食品類指數","塑膠類指數","紡織纖維類指數","電機機械類指數","電器電纜類指數","化學生技醫療類指數","化學類指數","生技醫療類指數","玻璃陶瓷類指數","造紙類指數","鋼鐵類指數","橡膠類指數","汽車類指數","電子類指數","半導體類指數","電腦及週邊設備類指數","光電類指數","通信網路類指數","電子零組件類指數","電子通路類指數","資訊服務類指數","其他電子類指數","建材營造類指數","航運類指數","觀光類指數","金融保險類指數","貿易百貨類指數","油電燃氣類指數","其他類指數",
="09:00:00","10,406.81","8,879.33","13,746.15","11,818.85","112.35","1,534.49","267.62","496.96","180.03","43.10","92.97","98.82","60.43","42.86","258.47","103.82","305.49","252.64","442.16","153.06","101.87","50.45","122.05","92.50","113.78","84.52","116.91","249.13","72.30","129.62","1,124.72","215.81","129.38","246.31",
="09:00:05","10,414.66","8,885.67","13,751.06","11,819.81","112.29","1,543.19","267.56","496.78","180.19","43.12","92.83","98.56","60.44","42.86","260.31","103.66","305.49","252.32","442.63","153.36","101.70","50.59","122.10","92.50","113.86","84.81","116.92","249.10","72.38","129.63","1,125.90","215.93","129.38","245.83",
="09:00:10","10,410.73","8,883.70","13,748.50","11,823.69","112.21","1,543.28","267.59","497.26","180.47","43.20","92.84","98.57","60.44","42.86","260.80","103.71","305.49","252.32","442.40","153.13","101.71","50.65","122.10","92.55","113.82","84.72","116.92","249.23","72.35","129.64","1,124.25","215.90","129.38","246.06",
="09:00:15","10,419.20","8,891.96","13,750.62","11,826.22","112.13","1,547.13","267.52","497.36","180.40","43.27","92.94","98.74","60.45","42.86","260.80","103.76","305.55","252.29","442.98","153.43","101.79","50.77","122.14","92.60","113.96","84.72","116.95","249.32","72.37","129.64","1,124.25","215.90","129.38","246.09",
="09:00:20","10,419.55","8,892.06","13,753.28","11,828.51","112.13","1,545.63","267.52","497.53","180.48","43.29","93.04","98.86","60.50","42.86","261.06","103.80","305.84","252.29","442.94","153.19","101.89","50.78","122.14","92.54","113.93","84.88","117.35","249.31","72.38","129.64","1,124.47","215.92","129.38","246.27",
="09:00:25","10,417.76","8,890.09","13,756.12","11,831.09","112.13","1,547.12","267.52","497.72","180.50","43.22","93.07","98.87","60.54","42.86","261.05","103.81","306.14","252.29","442.74","153.20","101.89","50.76","122.15","92.59","113.99","84.90","116.97","249.32","72.37","129.60","1,124.67","216.19","129.38","246.34",
="09:00:30","10,418.45","8,890.39","13,756.44","11,830.10","112.14","1,545.85","267.52","497.75","180.54","43.32","93.07","98.87","60.55","42.85","261.18","103.81","306.24","252.02","442.78","153.20","101.88","50.79","122.15","92.64","113.97","84.93","116.98","249.39","72.39","129.62","1,125.00","216.00","129.38","246.27",
="09:00:35","10,421.28","8,893.19","13,756.79","11,830.69","112.24","1,545.85","267.70","497.61","180.51","43.24","93.06","98.85","60.53","42.86","261.05","103.80","306.24","252.07","442.99","153.19","101.90","50.76","122.16","92.64","113.99","84.94","117.36","249.40","72.31","129.62","1,124.95","216.01","129.38","246.26",
="09:00:40","10,422.07","8,893.82","13,756.93","11,830.32","112.24","1,545.98","267.54","497.60","180.55","43.24","93.05","98.88","60.51","42.86","261.17","103.80","306.24","252.10","443.04","153.22","101.89","50.79","122.16","92.64","114.01","84.94","117.36","249.48","72.30","129.62","1,125.08","216.16","129.38","246.32",
="09:00:45","10,419.20","8,891.40","13,755.64","11,830.18","112.24","1,545.88","267.56","497.59","180.53","43.23","93.02","98.82","60.51","42.86","261.05","103.82","306.24","252.10","442.86","153.21","101.91","50.80","122.16","92.65","114.02","84.95","117.02","249.48","72.30","129.62","1,124.75","216.17","129.38","246.32",
